Title,URL,Authority,Subjects,Description,Access,Start Date,Location,Reuse,Deposit,Type,Source
Alternative Fuels and Advanced Vehicles Data Center (AFDC),http://www.afdc.energy.gov/afdc/data/index.html,"Alternative Fuels and Advanced Vehicles Data Center, Office of Energy Efficiency & Renewable Energy, U.S. Department of Energy [","Clean energy industries, Alternative fuel vehicles, Biodiesel fuels, Electricity in transportation, Ethanol as fuel, Natural gas, Propane as fuel, Vehicles, Fuel, Transportation, Petroleum as fuel","The Alternative Fuels Data Center (AFDC) is a comprehensive clearinghouse of information about advanced transportation technologies. The AFDC offers transportation decision makers unbiased information, data, and tools related to the deployment of alternative fuels and advanced vehicles. The AFDC was originally a repository for alternative fuel performance data, but has since evolved to offer a broad array of  resources that support the efforts to reduce petroleum use in transportation. ",Open,1991,United States,open,NA,disciplinary,
Alvin Frame-Grabber System (AlvinFG System),http://4dgeo.whoi.edu/alvin,"Woods Hole Oceanographic Institution, WHOI, Keck Foundation",,"The Alvin Frame-Grabber system provides the NDSF community on-line access to Alvin's video imagery co-registered with vehicle navigation and attitude data for shipboard analysis, planning deep submergence research cruises, and synoptic review of data post-cruise. The system is built upon the methodology and technology developed for the JasonII Virtual Control Van and a prototype system that was deployed on 13 Alvin dives in the East Pacific Rise and the Galapagos (AT7-12, AT7-13). The deployed prototype system was extremely valuable in facilitating real-time dive planning, review, and shipboard analysis.",open,2003-04,United States,restricted; Copyrights - http://4dgeo.whoi.edu/alvin,closed,disciplinary,
Amazon Web Services,http://aws.amazon.com/datasets,Amazon.com,"Geography, Mathematics, Encyclopedias and dictionaries, Economics, Climatology, Chemistry, Biology, Astronomy, Data archives",Public Data Sets on AWS provides a centralized repository of public data sets that can be seamlessly integrated into AWS cloud-based applications. AWS is hosting the public data sets at no charge to their users. Anyone can access these data sets from their Amazon Elastic Compute Cloud (Amazon EC2) instances and start computing on the data within minutes. Users can also leverage the entire AWS ecosystem and easily collaborate with other AWS users.,Open,2006,United States,Open,Accepting data for deposit (Private submissions welcome),Commercial,
American FactFinder,http://factfinder2.census.gov/,U.S. Census Bureau [Washington D.C.],"Population, Household surveys, Income, Census","American FactFinder, maintained by the U.S. Census Bureau, is a source for United States population, housing, economic, and geographic data. The Census Bureau conducts nearly one hundred surveys and censuses every year. Note that by law, no one is permitted to reveal information from these censuses and surveys that could identify any person, household, or business.",Open,NA,United States,Open; see http://factfinder2.census.gov/faces/nav/jsf/pages/what_we_provide2.xhtml for information on data available for download.,NS,governmental,
American Geosciences Institute GeoRef Database,http://www.agiweb.org/georef/,"American Geosciences Institute [Alexandria, VA]","Geological libraries, Geology, Earth sciences, Geological repositories, Groundwater ecology, Soil conservation","GeoRef is the most comprehensive database in the geosciences and continues to grow by more than 100,000 references a year. The database contains over 3.3 million references to geoscience journal articles, books, maps, conference papers, reports and theses. The GeoRef database covers the geology of North America from 1669 to the present and the geology of the rest of the world from 1933 to the present. The database includes references to all publications of the U.S. Geological Survey. Masters' theses and doctoral dissertations from U.S. and Canadian universities are also covered.
GeoRef provides free access to materials currently being processed for inclusion in the database, as well as indexed open-access resources. You can gain full subscription access to this vast amount of information online, or on GeoRef CDs.",Closed,1966,United States,Free preview-http://www.agiweb.org/georef/onlinedb/preview.html selected open access-http://www.agiweb.org/georef/about/openaccess.html  OR full subscription-http://www.agiweb.org/georef/access.html,NA,disciplinary,
American Mineraologist Crystal Structure Database (AMCSED),http://rruff.geo.arizona.edu/AMS/amcsd.php,"Mineralogical Society of America [Chantilly, VA]","Minerals, Mineralogy","AMCSED is an interface to a crystal structure database that includes every structure published in the American Mineralogist, The Canadian Mineralogist, European Journal of Mineralogy and Physics and Chemistry of Minerals, as well as selected datasets from other journals. The database is maintained under the care of the Mineralogical Society of America and the Mineralogical Association of Canada, and financed by the National Science Foundation. You may search by a mineral of your choice, or choose a mineral from a complete list to help aid your research. ",Open,2002,United States,Open,Closed,Disciplinary/Institutional,
American National Election Studies (ANES),http://www.electionstudies.org/,"National Science Foundation (NSF), Stanford University, University of Michigan","Elections, Census, Voting age, Voting, Voting research, Public opinion, Political participation, Partisanship, Ideology, Presidential candidates, Political candidates","The American National Election Studies (ANES) conducts national surveys and pilot studies and provides large, multifaceted datasets.
	Time Series Studies are conducted during years of national elections, with pre-election and post-election surveys conducted in presidential election years and post-election surveys conducted during congressional election years. Pilot Studies are normally conducted in years when there is no national election and are designed to test new, or to refine existing, instrumentation and study designs. Other Major Data Collections includes panel studies and other special studies. ",Open,1948,United States,Open. “How to Cite ANES Resources”: http://electionstudies.org/nesguide/citation.htm,Closed (no outside submissions),Institutional/Disciplinary,
AmericasBarometer Surveys,http://www.AmericasBarometer.org/,"The Latin American Public Opinion Project, Vanderbilt University [Nashville, TN], University of Costa Rica","Public opinion polls, Political geography, Democracy, Political science","AmericasBarometer surveys are multi-country, regularly conducted surveys of democratic values and behaviors in the Americas. The raw data are available for free at all LAPOP consortium member institutions, and by subscription at libraries throughout the world.  ",Open,1970,United States,Subscriber; see http://www.vanderbilt.edu/lapop/request-datasets.php for purchase and free access options.,NA,Institutional,
Animal QTLdb (Animal Quantitative Trait Loci ),http://www.animalgenome.org/QTLdb/,"National Animal Genome Research Program, Bioinformatics Coordination Program, NAGRP, USDA NRSP-8 Program, Iowa State University, ISU, United States Department of Agriculture, National Institute of Food and Agriculture, USDA - NIFA, Huazhong Agriculture University",Zoology,"This Animal Quantitative Trait Loci (QTL) database (Animal QTLdb) is designed to house all publicly available QTL and trait mapping data (i.e. trait and genome location association data; collectively called ""QTL data"" on this site) on livestock animal species for easily locating and making comparisons within and between species. New database tools are continuely added to align the QTL and association data to other types of genome information, such as annotated genes, RH / SNP markers, and human genome maps. Besides the QTL data from species listed below, the QTLdb is open to house QTL/association date from other animal species where feasible. Note that the JAS along with other journals, now require that new QTL/association data be entered into a QTL database as part of their publication requirements.",open,2003,,restricted; other - Data curation account,restricted: registration,disciplinary,
Antarctic & Southern Ocean Data Portal,http://www.marine-geo.org/portals/antarctic/,"National Science Foundation, NSF, Columbia University, Lamont -Doherty Earth Observatory, LDEO",,"The Antarctic and Southern Ocean Data Portal, part of the US Antarctic Data Consortium, provides access to geoscience data, primarily marine, from the Antarctic region. The synthesis began in 2003 as the Antarctic Multibeam Bathymetry and Geophysical Data Synthesis (AMBS) with a focus on multibeam bathymetry field data and other geophysical data from the Southern Ocean collected with the R/V N. B. Palmer. In 2005, the effort was expanded to include all routine underway geophysical and oceanographic data collected with both the R/V N. B. Palmer and R/V L. Gould, the two primary research vessels serving the US Antarctic Program. ",open,2003,United States,restricted; CC - http://www.marine-geo.org/about/legal.php,restricted: registration; Data Submission Guidelines - http://www.marine-geo.org/submit/guidelines.php,disciplinary,
ANU Data Commons,http://datacommons.anu.edu.au/DataCommons/,"Australian National Data Service, ANDS, Australian National University, Division of Information, ANU, IARU, International Alliance of Research Universities, Group of Eight Australia, Go8","Biology, Humanities","The Australian National University undertake work to collect and publish metadata about research data held by ANU, and in the case of four discipline areas, Earth Sciences, Astronomy, Phenomics and Digital Humanities to develop pipelines and tools to enable the publication of research data using a common and repeatable approach. Aims and outcomes: To identify and describe research data held at ANU, to develop a consistent approach to the publication of metadata on the University's data holdings
Identification and curation of significant orphan data sets that might otherwise be lost or inadvertently destroyed, to develop a culture of data data sharing and data re-use.",open,2012,,closed; other - http://libguides.anu.edu.au/content.php?pid=372387&sid=3050562; other - http://libguides.anu.edu.au/content.php?pid=372387&sid=3134975; CC - http://creativecommons.org/; Copyrights - http://libguides.anu.edu.au/content.php?pid=372387&sid=3050535; Copyrights - http://legaloffice.weblogs.anu.edu.au/content/copyright/,restricted: registration; Data Deposit Requirements of Selected Science Journals  - http://libguides.anu.edu.au/content.php?pid=372387&sid=3050531,institutional,
Arabidopsis Information Resource (TAIR),http://www.arabidopsis.org/,"Department of Plant Biology, Carnegie Institution for Science [Stanford, CA]","DNA, Molecular biology, Arabidopsis thaliana","The Arabidopsis Information Resource collects information and maintains a database of genetic and molecular biology data for Arabidopsis thaliana, a widely used model plant. Data available from TAIR includes the complete genome sequence along with gene structure, gene product information, metabolism, gene expression, DNA and seed stocks, genome maps, genetic and physical markers, publications, and information about the Arabidopsis research community.",Open,1999,United States,"Open; see http://www.arabidopsis.org/about/index.jsp for info on downloading datasets, etc.",NA,disciplinary,
Archaeology Data Service,http://archaeologydataservice.ac.uk/,University of York,Archaeology,"Archaeology Data Service (ADS) provides archaeological data from the early prehistoric to present in faceted classification categories as event, evidence, maritime, monument types, and object types. ADS also provides archives that are a separate faceted collection including literature, journals, bibliographies, and theses.  ADS data and archives are provided by a consortium of research institutions dedicated to providing data for archaeological research.",Open,1996,United Kingdom,Open; http://archaeologydataservice.ac.uk/advice/termsOfUseAndAccess,Limited; http://archaeologydataservice.ac.uk/advice,Disciplinary,
ARM Data Archive (Atmospheric Radiation Measurement Climate Research Facility Data Archive),http://www.archive.arm.gov/armlogin/login.jsp,"U.S. Department of Energy, Office of Science, DOE, Oak Ridge National Laboratory, ORNL, Atmospheric Radiation Measurement Climate Research Facility, ARM, Lawrence Berkeley National Laboratory, LBL, Lawrence Livermore National Laboratory, LLNL, National Renewable Energy  Laboratory, NREL, Pacific Northwest National Laboratory, PNL, Sandia National Laboratories, Sandia, Argonne National Laboratory, ANL, Brookhaven National Laboratory, BNL, Los Alamos National Laboratory, LANL",,"The ARM Climate Research Facility Data Archive provides long-term storage and access for all data generated by ARM or collected by ARM from related program (e.g., external data such as NASA satellite. ARM program has generated billions of measurements of radiation, radiative transfer, meteorology, clouds, etc.  data).",open,1993,United States,restricted; other - http://www.arm.gov/data/docs/policy,restricted: registration; data sharing and distribution policy  - http://www.arm.gov/data/docs/policy,disciplinary/institutional,
ArrayExpress,http://www.ebi.ac.uk/arrayexpress/,"European Bioinformatics Institute [Cambridge, UK]","Gene expression, Functional genomics",The ArrayExpress Archive is a database of functional genomics experiments including gene expression where you can query and download data collected to MIAME and MINSEQE standards. Gene Expression Atlas contains a subset of curated and re-annotated Archive data which can be queried for individual gene expression under different biological conditions across experiments.,Open,1994,United Kingdom,Open,Open,Disciplinary,
ARS (Antibiotika-Resistenz-Surveillance am RKI),http://ars.rki.de/,,,"With ARS - Antimicrobial Resistance Surveillance in Germany - the infrastructure for a nationwide surveillance of antimicrobial resistance has been established, which covers both the inpatient medical care and the ambulatory care sector. This is intended to reliable data on the epidemiology of antimicrobial resistance in Germany and differential statements provided by structural features of the health care and by region are possible. ARS is designed as a laboratory-based surveillance system for continuous collection of resistance data from routine for the full range of clinically relevant bacterial pathogens. Project participants and thus data suppliers are laboratories that analyze samples of medical facilities and doctors' offices microbiologically.",open,2008,Germany,open; Copyrights - https://ars.rki.de/Impressum.aspx,restricted: other,disciplinary,
Arts and Humanities Data Service (AHDS),http://www.ahds.ac.uk/,"King's College, London, UK","Local history, Archaeology, English literature, Language and languages, Linguistics, Arts, Performing arts","The Arts and Humanities Data Service [AHDS] was a UK national service aiding the discovery, creation and preservation of digital resources in the arts and humanities. Their collection covers history, archaeology, literature, languages & linguistics, visual and performing arts.  National funding stopped in 2009.",Open,1995,United Kingdom,Open,See http://www.ahds.ac.uk/depositing/index.htm,disciplinary,
ARTstor,http://www.artstor.org,"ARTstor, Inc.","Anthropological archives, Sculpture, Photography, Painting, Architecture, Museums, Art, Archaeological archives, Decorative arts","The ARTstor Digital Library is a nonprofit resource that provides more than one million digital images in the arts, architecture, humanities, and sciences with an accessible suite of software tools for teaching and research. Its community-built collections comprise contributions from outstanding international museums, photographers, libraries, scholars, photo archives, and artists and artists' estates.",Subscription,1998,United States,Terms and conditions for different content are posted.,Closed,Disciplinary,
Association of Religion Data Archives (ARDA),http://www.thearda.com/,"The Association of Religion Data Archives (University Park, PA)","Presbyterians, Unitarians, Nazarenes (Church of the Nazarene), Mormons, Methodists, Lutherans, Jewish religious education, Catholics, Baptists, Adventists, Religions, Religion","The ARDA provides free access to the most authoritative religion data and religion statistics. It is a collection of surveys, polls, and other data submitted by researchers and made available online by the ARDA",Open,1997,United States,Open; http://www.thearda.com/Archive/browse.asp,Open,Disciplinary,
ASTM International (American Society for Testing and Materials),http://www.astm.org/Standard/index.shtml,"ASTM International, American Society for Testing and Materials","Physics, Chemistry, Biology, Economics","ASTM International, formerly known as the American Society for Testing and Materials (ASTM), is a globally recognized leader in the development and delivery of international voluntary consensus standards. Today, some 12,000 ASTM standards are used around the world to improve product quality, enhance safety, facilitate market access and trade, and build consumer confidence.",open,1996,United States,restricted; Copyrights - http://www.astm.org/COPYRIGHT/,closed,disciplinary/institutional,
Astronomical Data Archives Center,http://dbc.nao.ac.jp/,"Astronomical Data Archives Center, National Astronomical Observatory of Japan [Mitaka, Tokyo; Japan]","Astronomy, Spectroscopic imaging, Photometry, Astrographic catalog and chart, Observatories, Trigonometrical functions, Planets, Astrophysics, Space sciences, Astronomical instruments","The Astronomical Data Archives Center (ADAC) provides access to astronomical data from all over the world with links to online data catalogs, journal archives, imaging services and data archives. Users can access the VizieR catalogue service as well as the Hubble Ultra Deep Field Data by requesting password access. ADAC also provides access to the SMOKA public science data obtained through the Subaru Telescope in Hawaii as well as Schmidt Telescope at the University of Tokyo & MITSuME and KANATA Telescope at Higashi-Hiroshima Observatory. Users may need to contact the ADAC for password access or create user accounts for the various data services accessible through the ADAC site.",open (some data requires user ac,1995,Japan,Open for academic research and educational purposes only,,institutional/disciplinary,
Atlantic Canada Conservation Data Centre,http://www.accdc.com/,Mount Allison University,"Conservation of natural resources, Plants, Animals, Biotic communities, Botany, Zoology, Landscape ecology, Forests and forestry, Ecology","The Atlantic Canada Conservation Data Centre (CDC) maintains comprehensive lists of plant and animal species. The Atlantic CDC has over 635,000 geo-located records of species occurrences and over 40,000 records of extremely rare to uncommon species in the Atlantic region, including New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland, and Labrador. The Atlantic CDC also maintains biological and other types of data in a variety of linked databases.",Open. Restrictions: http://www.accdc.com/Products/fineprint.html. Fees may apply: http://www.accdc.com/Products/fees.html,1997,Canada,Open. Restrictions: http://www.accdc.com/Products/fineprint.html,Accepting. http://www.accdc.com/Data/submit.html,Disciplinary,
Atlantic Oceanographic and Meteorological Laboratory [AOML] Environmental Data Server (ENVIDS),http://www.aoml.noaa.gov/data,"Atlantic Oceanographic and Meterological Laboratory, National Oceanographic and Atmospheric Administration [Washington, DC]","Ocean, Hurricanes, Atmosphere","The AOML Environmental Data Server (ENVIDS) provides interactive, on-line access to various oceanographic and atmospheric datasets residing at AOML. The in-house datasets include Atlantic Expendable Bathythermograph (XBT), Global Lagrangian Drifting Buoy, Hurricane Flight Level, and Atlantic Hurricane Tracks (North Atlantic Best Track and Synoptic). Other available datasets include Pacific Conductivitiy/Temperature/Depth Recorder (CTD) and World Ocean Atlas 1998.",Open,-1973,United States,See http://www.aoml.noaa.gov/data/ for info on data sets available.,,governmental / disciplinary,
Atlas of Living Australia,http://www.ala.org.au/,Commonwealth Scientific and Industrial Research Organisation (CSIRO),"Biodiversity, Images, Photographic, DNA, Conservation of natural resources, Insects, Microorganisms, Plants, Mammals, Birds, Reptiles, Amphibians, Invertebrates, Fishes","The Atlas of Living Australia (ALA) combines and provides scientifically collected data from a wide range of sources such as museums, herbaria, community groups, government departments, individuals and universities.  Data records consist of images, literature, molecular DNA data, identification keys, species interaction data, species profile data, nomenclature, source data, conservation indicators, and spatial data.",Open,2010,Australia,Open; http://www.ala.org.au/about-the-atlas/terms-of-use/,Accepting data for deposit (Private submissions welcome); http://www.ala.org.au/get-involved/,Governmental/Institutional/Disciplinary,
Atmospheric Radiation Measurement (ARM) Climate Research Facility Data Archive,http://www.arm.gov/data/,"ARM Climate Research Center, Office of Science, U.S. Department of Energy [Washington, DC]","Climatology, Atmospheric radiation, Cloud forecasting","The ARM Archive supports the scientific field experiments of the Atmospheric Radiation Measurement (ARM) Program by storing and distributing the large quantities of data collected from these experiments. These data are used to research atmospheric radiation balance and cloud feedback processes, which are critical to the understanding of global climate change.",Open,1990,United States,"Open, see http://www.archive.arm.gov/armlogin/login.jsp for info on data can be acquired.",NA,governmental / disciplinary,
Atmospheric Science Data Center (ASDC),http://eosweb.larc.nasa.gov/,"Atmospheric Science Data Center, NASA Langley Research Center [Langley, VA]","Earth sciences, Climatology, Ecology, Atmospheric chemistry, Solar activity","The Atmospheric Science Data Center (ASDC) at NASA Langley Research Center is responsible for the processing, archival, and distribution of NASA Earth science data in the areas of radiation budget, clouds, aerosols, and tropospheric chemistry. The ASDC specializes in atmospheric data important to understanding the causes and processes of global climate change and the consequences of human activities on the climate.",open,1991,United States,open,contact [larc-asdc-uds@lists.nasa.gov],governmental/disciplinary,
